;static__case:RequestedAmount;index__timesincemidnight_0;index__month_0;index__weekday_0;index__hour_0;index__open_cases_0;index__timesincelastevent_1;index__timesincecasestart_1;index__timesincemidnight_1;index__month_1;index__weekday_1;index__hour_1;index__open_cases_1;index__timesincelastevent_2;index__timesincecasestart_2;index__timesincemidnight_2;index__month_2;index__weekday_2;index__hour_2;index__open_cases_2;index__timesincelastevent_3;index__timesincecasestart_3;index__timesincemidnight_3;index__month_3;index__weekday_3;index__hour_3;index__open_cases_3;index__timesincelastevent_4;index__timesincecasestart_4;index__timesincemidnight_4;index__month_4;index__weekday_4;index__hour_4;index__open_cases_4;index__FirstWithdrawalAmount_5;index__MonthlyCost_5;index__NumberOfTerms_5;index__OfferedAmount_5;index__timesincelastevent_5;index__timesincecasestart_5;index__timesincemidnight_5;index__month_5;index__weekday_5;index__hour_5;index__open_cases_5;index__FirstWithdrawalAmount_6;index__MonthlyCost_6;index__NumberOfTerms_6;index__OfferedAmount_6;index__timesincelastevent_6;index__timesincecasestart_6;index__timesincemidnight_6;index__month_6;index__weekday_6;index__hour_6;index__open_cases_6;index__FirstWithdrawalAmount_7;index__MonthlyCost_7;index__NumberOfTerms_7;index__OfferedAmount_7;index__timesincelastevent_7;index__timesincecasestart_7;index__timesincemidnight_7;index__month_7;index__weekday_7;index__hour_7;index__open_cases_7;index__FirstWithdrawalAmount_8;index__MonthlyCost_8;index__NumberOfTerms_8;index__OfferedAmount_8;index__timesincelastevent_8;index__timesincecasestart_8;index__timesincemidnight_8;index__month_8;index__weekday_8;index__hour_8;index__open_cases_8;index__FirstWithdrawalAmount_9;index__MonthlyCost_9;index__NumberOfTerms_9;index__OfferedAmount_9;index__timesincelastevent_9;index__timesincecasestart_9;index__timesincemidnight_9;index__month_9;index__weekday_9;index__hour_9;index__open_cases_9;index__FirstWithdrawalAmount_10;index__MonthlyCost_10;index__NumberOfTerms_10;index__OfferedAmount_10;index__timesincelastevent_10;index__timesincecasestart_10;index__timesincemidnight_10;index__month_10;index__weekday_10;index__hour_10;index__open_cases_10;index__FirstWithdrawalAmount_11;index__MonthlyCost_11;index__NumberOfTerms_11;index__OfferedAmount_11;index__timesincelastevent_11;index__timesincecasestart_11;index__timesincemidnight_11;index__month_11;index__weekday_11;index__hour_11;index__open_cases_11;index__FirstWithdrawalAmount_12;index__MonthlyCost_12;index__NumberOfTerms_12;index__OfferedAmount_12;index__timesincelastevent_12;index__timesincecasestart_12;index__timesincemidnight_12;index__month_12;index__weekday_12;index__hour_12;index__open_cases_12;index__FirstWithdrawalAmount_13;index__MonthlyCost_13;index__NumberOfTerms_13;index__OfferedAmount_13;index__timesincelastevent_13;index__timesincecasestart_13;index__timesincemidnight_13;index__month_13;index__weekday_13;index__hour_13;index__open_cases_13;index__FirstWithdrawalAmount_14;index__MonthlyCost_14;index__NumberOfTerms_14;index__OfferedAmount_14;index__timesincelastevent_14;index__timesincecasestart_14;index__timesincemidnight_14;index__month_14;index__weekday_14;index__hour_14;index__open_cases_14;index__FirstWithdrawalAmount_15;index__MonthlyCost_15;index__NumberOfTerms_15;index__OfferedAmount_15;index__timesincelastevent_15;index__timesincecasestart_15;index__timesincemidnight_15;index__month_15;index__weekday_15;index__hour_15;index__open_cases_15;encoded_label
index__timesincemidnight_10;0.014;0.251;-0.026;-0.056;0.25;-0.07;0.04;0.04;0.251;-0.026;-0.056;0.25;-0.07;-0.005;0.021;0.251;-0.026;-0.056;0.25;-0.07;-0.049;-0.049;0.274;-0.026;-0.043;0.272;-0.07;-0.021;-0.05;0.273;-0.026;-0.043;0.272;-0.07;-0.018;-0.03;-0.027;-0.03;-0.024;-0.041;0.307;-0.026;-0.045;0.305;-0.07;-0.017;-0.03;-0.025;-0.029;-0.051;-0.067;0.609;-0.027;-0.046;0.608;-0.07;-0.025;-0.037;-0.033;-0.036;-0.013;-0.067;0.629;-0.027;-0.046;0.628;-0.07;-0.026;-0.036;-0.038;-0.037;-0.046;-0.077;0.799;-0.028;-0.042;0.796;-0.07;-0.01;-0.018;-0.02;-0.022;-0.057;-0.094;0.916;-0.028;-0.044;0.913;-0.07;-0.002;-0.008;-0.004;-0.012;-0.051;-0.099;1.0;-0.029;-0.041;0.996;-0.07;0.002;-0.005;0.003;-0.007;0.002;-0.094;0.934;-0.029;-0.033;0.931;-0.071;0.004;-0.006;0.002;-0.009;-0.003;-0.085;0.893;-0.028;-0.03;0.889;-0.071;0.004;-0.006;-0.001;-0.01;-0.021;-0.09;0.686;-0.03;-0.016;0.683;-0.071;0.006;-0.004;0.002;-0.008;0.005;-0.083;0.658;-0.03;-0.016;0.655;-0.071;0.003;-0.006;0.001;-0.01;-0.002;-0.037;0.578;-0.033;-0.022;0.58;-0.073;0.007
index__month_10;0.078;-0.024;0.989;-0.008;-0.025;0.624;0.447;0.447;-0.024;0.989;-0.008;-0.025;0.624;-0.085;0.215;-0.024;0.989;-0.008;-0.025;0.624;-0.009;-0.009;-0.019;0.989;-0.006;-0.02;0.624;-0.016;-0.01;-0.02;0.989;-0.006;-0.02;0.624;0.049;0.029;0.015;0.038;-0.003;-0.006;-0.024;0.99;-0.005;-0.025;0.623;0.05;0.029;0.014;0.038;0.008;0.005;-0.011;0.996;0.013;-0.011;0.619;0.067;0.043;0.025;0.049;-0.002;0.004;-0.012;0.997;0.012;-0.012;0.618;0.09;0.06;0.034;0.067;0.02;0.015;-0.017;0.999;0.015;-0.017;0.617;0.103;0.069;0.041;0.079;0.001;0.014;-0.021;0.999;0.013;-0.021;0.616;0.107;0.073;0.044;0.085;-0.004;0.009;-0.029;1.0;0.017;-0.029;0.616;0.11;0.073;0.045;0.087;0.001;0.009;-0.03;0.999;0.015;-0.03;0.615;0.109;0.075;0.046;0.089;-0.012;0.004;-0.033;0.998;0.012;-0.033;0.614;0.109;0.073;0.042;0.087;-0.002;0.002;-0.038;0.986;0.028;-0.038;0.607;0.108;0.071;0.039;0.086;-0.007;-0.0;-0.038;0.985;0.027;-0.038;0.605;0.108;0.071;0.039;0.087;-0.001;-0.001;-0.01;0.959;0.009;-0.01;0.565;0.017
index__weekday_10;0.016;0.016;0.013;0.211;0.016;0.014;0.009;0.009;0.016;0.013;0.211;0.016;0.014;-0.004;0.003;0.016;0.013;0.211;0.016;0.014;-0.066;-0.066;0.03;0.013;0.264;0.03;0.014;0.011;-0.066;0.031;0.013;0.264;0.031;0.014;-0.011;-0.016;-0.017;-0.016;-0.007;-0.029;0.023;0.013;0.288;0.024;0.013;-0.01;-0.018;-0.018;-0.016;-0.081;-0.092;0.026;0.016;0.788;0.026;0.01;-0.001;-0.007;-0.007;-0.005;-0.009;-0.089;0.024;0.015;0.8;0.024;0.01;0.003;0.001;-0.003;0.001;-0.024;-0.08;-0.008;0.016;0.901;-0.008;0.007;-0.005;-0.004;-0.012;-0.005;-0.003;-0.077;-0.033;0.017;0.949;-0.033;0.007;-0.001;-0.001;-0.009;-0.001;-0.009;-0.066;-0.041;0.017;1.0;-0.042;0.005;-0.0;-0.002;-0.012;-0.005;0.032;-0.053;-0.041;0.016;0.962;-0.042;0.005;-0.004;-0.003;-0.009;-0.003;0.023;-0.04;-0.043;0.016;0.938;-0.043;0.005;-0.002;-0.002;-0.005;-0.001;-0.017;-0.048;-0.044;0.01;0.594;-0.045;0.01;-0.0;-0.0;-0.003;0.001;-0.003;-0.046;-0.044;0.01;0.552;-0.045;0.01;0.001;0.0;-0.001;0.003;0.002;-0.018;-0.041;0.012;0.546;-0.042;0.008;0.012
index__hour_10;0.013;0.25;-0.026;-0.056;0.249;-0.07;0.039;0.039;0.25;-0.026;-0.056;0.249;-0.07;-0.005;0.021;0.25;-0.026;-0.056;0.249;-0.07;-0.048;-0.048;0.272;-0.026;-0.043;0.271;-0.07;-0.021;-0.049;0.272;-0.026;-0.043;0.271;-0.07;-0.018;-0.029;-0.026;-0.029;-0.024;-0.04;0.305;-0.026;-0.046;0.305;-0.07;-0.017;-0.029;-0.024;-0.028;-0.051;-0.066;0.607;-0.027;-0.046;0.607;-0.07;-0.025;-0.036;-0.033;-0.035;-0.012;-0.066;0.626;-0.027;-0.046;0.628;-0.07;-0.027;-0.036;-0.038;-0.037;-0.046;-0.076;0.796;-0.027;-0.043;0.798;-0.07;-0.011;-0.018;-0.02;-0.022;-0.058;-0.093;0.913;-0.028;-0.044;0.916;-0.07;-0.002;-0.008;-0.005;-0.013;-0.051;-0.099;0.996;-0.029;-0.042;1.0;-0.07;0.001;-0.005;0.003;-0.008;0.0;-0.094;0.931;-0.028;-0.033;0.934;-0.071;0.003;-0.006;0.001;-0.009;-0.003;-0.085;0.891;-0.028;-0.03;0.892;-0.071;0.004;-0.007;-0.001;-0.01;-0.022;-0.09;0.684;-0.03;-0.016;0.685;-0.071;0.005;-0.004;0.002;-0.008;0.005;-0.083;0.656;-0.029;-0.016;0.657;-0.071;0.002;-0.007;0.001;-0.01;-0.002;-0.038;0.577;-0.033;-0.023;0.582;-0.073;0.006
index__open_cases_10;0.042;-0.038;0.608;-0.011;-0.039;0.986;0.076;0.076;-0.038;0.608;-0.011;-0.039;0.986;-0.031;0.026;-0.038;0.608;-0.011;-0.039;0.986;-0.004;-0.004;-0.041;0.609;-0.01;-0.042;0.987;-0.017;-0.005;-0.041;0.609;-0.01;-0.042;0.987;0.036;0.013;0.006;0.021;0.017;0.015;-0.048;0.609;-0.008;-0.049;0.987;0.036;0.015;0.008;0.023;0.088;0.092;-0.06;0.613;0.01;-0.06;0.995;0.065;0.042;0.031;0.046;0.006;0.088;-0.061;0.613;0.009;-0.061;0.996;0.08;0.056;0.039;0.058;0.035;0.085;-0.062;0.615;0.003;-0.062;0.998;0.087;0.061;0.041;0.065;0.025;0.09;-0.065;0.615;0.003;-0.066;0.999;0.087;0.064;0.044;0.07;0.006;0.075;-0.07;0.616;0.005;-0.07;1.0;0.087;0.062;0.043;0.07;0.01;0.074;-0.073;0.616;0.002;-0.073;0.999;0.087;0.063;0.041;0.07;-0.017;0.061;-0.076;0.616;0.002;-0.076;0.998;0.085;0.059;0.034;0.066;0.011;0.061;-0.031;0.622;-0.002;-0.031;0.988;0.082;0.056;0.031;0.065;-0.001;0.058;-0.029;0.622;-0.005;-0.029;0.987;0.079;0.055;0.028;0.064;-0.006;0.02;-0.034;0.627;-0.013;-0.034;0.955;0.006
index__FirstWithdrawalAmount_11;0.313;0.031;0.11;0.026;0.031;0.088;0.057;0.057;0.031;0.11;0.026;0.031;0.088;0.008;0.039;0.031;0.11;0.026;0.031;0.088;-0.086;-0.086;0.059;0.11;0.045;0.059;0.088;-0.021;-0.087;0.059;0.11;0.045;0.059;0.088;0.431;0.131;0.041;0.148;-0.093;-0.118;0.055;0.11;0.039;0.055;0.088;0.443;0.127;0.029;0.141;0.106;0.053;0.004;0.111;0.006;0.004;0.088;0.551;0.172;0.054;0.185;-0.033;0.041;0.004;0.11;0.007;0.004;0.088;0.708;0.281;0.123;0.3;-0.008;0.025;0.015;0.111;0.004;0.014;0.088;0.837;0.369;0.19;0.393;-0.087;-0.008;0.003;0.11;-0.004;0.002;0.087;0.938;0.418;0.228;0.45;-0.046;-0.029;0.002;0.11;-0.0;0.001;0.087;1.0;0.454;0.255;0.484;-0.078;-0.05;-0.001;0.11;-0.001;-0.002;0.086;0.952;0.418;0.207;0.447;-0.064;-0.065;-0.006;0.11;0.002;-0.006;0.086;0.916;0.393;0.17;0.419;-0.002;-0.058;-0.011;0.107;0.006;-0.012;0.085;0.897;0.373;0.142;0.4;-0.043;-0.07;-0.009;0.107;0.005;-0.01;0.085;0.879;0.359;0.122;0.386;0.018;-0.016;-0.008;0.105;0.006;-0.008;0.079;-0.017
index__MonthlyCost_11;0.402;-0.046;0.075;-0.021;-0.046;0.063;-0.039;-0.039;-0.046;0.075;-0.021;-0.046;0.063;-0.066;-0.063;-0.046;0.075;-0.021;-0.046;0.063;-0.141;-0.141;-0.003;0.075;0.008;-0.003;0.063;0.015;-0.14;-0.003;0.075;0.008;-0.002;0.063;0.225;0.425;0.12;0.353;0.016;-0.034;-0.001;0.075;0.011;-0.001;0.064;0.236;0.45;0.128;0.373;0.006;-0.009;0.01;0.075;0.01;0.011;0.064;0.277;0.527;0.144;0.433;0.001;-0.008;0.009;0.074;0.009;0.009;0.064;0.347;0.682;0.17;0.549;-0.037;-0.028;0.016;0.074;0.007;0.015;0.064;0.398;0.802;0.198;0.642;-0.13;-0.074;-0.0;0.074;-0.006;-0.001;0.063;0.433;0.915;0.222;0.714;-0.075;-0.095;-0.005;0.073;-0.002;-0.005;0.062;0.454;1.0;0.243;0.774;-0.13;-0.129;-0.01;0.072;-0.003;-0.011;0.062;0.403;0.92;0.157;0.712;-0.103;-0.148;-0.016;0.073;0.001;-0.016;0.061;0.37;0.869;0.09;0.667;0.101;-0.053;-0.057;0.072;0.009;-0.058;0.063;0.346;0.837;0.034;0.634;-0.012;-0.054;-0.064;0.072;0.01;-0.064;0.063;0.328;0.815;-0.003;0.612;0.099;0.059;-0.073;0.07;0.014;-0.072;0.059;-0.049
index__NumberOfTerms_11;0.181;-0.066;0.044;-0.051;-0.065;0.042;-0.099;-0.099;-0.066;0.044;-0.051;-0.065;0.042;-0.122;-0.133;-0.066;0.044;-0.051;-0.065;0.042;-0.183;-0.183;-0.008;0.044;-0.015;-0.008;0.043;0.025;-0.182;-0.007;0.044;-0.015;-0.007;0.043;0.154;0.158;0.405;0.296;0.057;-0.01;-0.001;0.045;-0.009;-0.0;0.044;0.161;0.173;0.435;0.318;-0.028;-0.032;0.025;0.046;0.005;0.025;0.045;0.176;0.188;0.504;0.361;0.02;-0.024;0.025;0.046;0.003;0.025;0.045;0.202;0.199;0.638;0.436;-0.034;-0.038;0.027;0.046;0.003;0.027;0.045;0.229;0.22;0.775;0.506;-0.159;-0.095;0.005;0.046;-0.016;0.005;0.044;0.244;0.231;0.885;0.554;-0.096;-0.122;0.003;0.045;-0.012;0.003;0.043;0.255;0.243;1.0;0.599;-0.18;-0.169;-0.004;0.044;-0.012;-0.005;0.041;0.198;0.151;0.909;0.513;-0.136;-0.194;-0.01;0.044;-0.007;-0.011;0.041;0.16;0.083;0.842;0.452;0.171;-0.041;-0.077;0.045;-0.0;-0.077;0.044;0.13;0.028;0.794;0.405;0.006;-0.036;-0.089;0.045;0.0;-0.088;0.044;0.108;-0.007;0.762;0.375;0.134;0.095;-0.108;0.045;-0.001;-0.106;0.043;-0.057
index__OfferedAmount_11;0.567;-0.067;0.088;-0.035;-0.067;0.069;-0.066;-0.066;-0.067;0.088;-0.035;-0.067;0.069;-0.092;-0.096;-0.067;0.088;-0.035;-0.067;0.069;-0.137;-0.137;-0.025;0.088;-0.007;-0.025;0.07;0.033;-0.136;-0.024;0.088;-0.007;-0.024;0.07;0.278;0.398;0.282;0.491;0.049;-0.002;-0.019;0.088;-0.001;-0.019;0.07;0.289;0.424;0.303;0.521;-0.028;-0.028;0.012;0.088;0.009;0.012;0.071;0.325;0.481;0.343;0.594;0.013;-0.023;0.01;0.088;0.007;0.01;0.071;0.383;0.571;0.407;0.725;-0.035;-0.037;0.011;0.088;0.005;0.01;0.071;0.432;0.656;0.479;0.84;-0.121;-0.08;-0.004;0.087;-0.008;-0.005;0.071;0.467;0.716;0.54;0.926;-0.074;-0.1;-0.007;0.087;-0.005;-0.008;0.07;0.484;0.774;0.599;1.0;-0.127;-0.132;-0.013;0.086;-0.005;-0.014;0.069;0.438;0.722;0.529;0.942;-0.098;-0.149;-0.018;0.086;-0.001;-0.018;0.069;0.408;0.681;0.478;0.901;0.139;-0.025;-0.067;0.085;0.006;-0.068;0.07;0.385;0.651;0.439;0.872;0.008;-0.021;-0.076;0.085;0.006;-0.077;0.071;0.368;0.631;0.414;0.852;0.115;0.086;-0.085;0.083;0.005;-0.084;0.067;-0.052
index__timesincelastevent_11;0.005;0.008;-0.0;0.007;0.007;0.012;0.017;0.017;0.008;-0.0;0.007;0.007;0.012;0.03;0.028;0.008;-0.0;0.007;0.007;0.012;0.132;0.132;-0.033;-0.0;-0.012;-0.034;0.011;0.032;0.133;-0.032;-0.0;-0.012;-0.033;0.011;-0.039;-0.06;-0.069;-0.059;0.003;0.05;-0.034;0.0;-0.011;-0.035;0.011;-0.04;-0.063;-0.073;-0.063;-0.064;-0.042;-0.017;-0.0;0.009;-0.018;0.011;-0.047;-0.074;-0.086;-0.073;0.019;-0.034;-0.019;-0.0;0.009;-0.02;0.01;-0.063;-0.098;-0.119;-0.096;-0.016;-0.034;-0.022;-0.0;0.008;-0.023;0.01;-0.068;-0.107;-0.138;-0.106;0.175;0.032;0.002;0.001;0.033;0.001;0.01;-0.074;-0.121;-0.161;-0.119;-0.013;0.019;0.002;0.001;0.032;0.0;0.01;-0.078;-0.13;-0.18;-0.127;1.0;0.31;-0.039;0.005;-0.004;-0.038;0.014;-0.065;-0.098;-0.138;-0.094;-0.007;0.276;-0.038;0.005;-0.004;-0.038;0.014;-0.058;-0.079;-0.116;-0.077;0.024;0.258;0.002;0.006;-0.016;0.003;0.015;-0.045;-0.045;-0.067;-0.045;-0.016;0.238;0.005;0.006;-0.016;0.005;0.015;-0.044;-0.036;-0.051;-0.036;-0.037;0.072;0.012;0.006;-0.019;0.012;0.016;0.033
index__timesincecasestart_11;0.034;0.083;-0.002;0.119;0.082;0.05;0.05;0.05;0.083;-0.002;0.119;0.082;0.05;0.115;0.1;0.083;-0.002;0.119;0.082;0.05;0.076;0.076;0.061;-0.002;0.105;0.061;0.05;-0.073;0.073;0.059;-0.002;0.105;0.059;0.05;-0.19;-0.292;-0.335;-0.288;0.156;0.174;0.05;-0.002;0.103;0.049;0.051;-0.193;-0.296;-0.339;-0.292;0.506;0.567;-0.071;-0.0;0.013;-0.072;0.057;-0.183;-0.288;-0.337;-0.287;0.187;0.592;-0.072;-0.0;0.011;-0.072;0.058;-0.156;-0.266;-0.323;-0.266;0.583;0.777;-0.092;0.003;-0.029;-0.091;0.065;-0.105;-0.212;-0.27;-0.214;0.277;0.841;-0.092;0.004;-0.034;-0.091;0.067;-0.091;-0.185;-0.243;-0.187;0.588;0.956;-0.094;0.009;-0.053;-0.094;0.074;-0.05;-0.129;-0.169;-0.132;0.31;1.0;-0.095;0.01;-0.067;-0.094;0.076;-0.032;-0.1;-0.127;-0.1;0.173;0.952;-0.082;0.012;-0.069;-0.08;0.076;-0.012;-0.065;-0.079;-0.068;-0.256;0.636;0.013;0.011;-0.077;0.014;0.072;-0.003;-0.049;-0.057;-0.052;-0.007;0.598;0.023;0.012;-0.075;0.024;0.073;0.006;-0.039;-0.043;-0.043;-0.194;0.098;0.056;0.012;-0.079;0.056;0.076;0.018
index__timesincemidnight_11;0.011;0.245;-0.028;-0.047;0.244;-0.072;0.04;0.04;0.245;-0.028;-0.047;0.244;-0.072;-0.003;0.022;0.245;-0.028;-0.047;0.244;-0.072;-0.02;-0.02;0.255;-0.028;-0.042;0.254;-0.072;0.001;-0.02;0.255;-0.028;-0.042;0.254;-0.072;-0.02;-0.032;-0.03;-0.033;-0.025;-0.031;0.284;-0.028;-0.045;0.283;-0.072;-0.019;-0.033;-0.029;-0.032;-0.052;-0.064;0.58;-0.029;-0.046;0.579;-0.073;-0.027;-0.04;-0.037;-0.039;-0.015;-0.065;0.599;-0.029;-0.046;0.597;-0.073;-0.029;-0.04;-0.044;-0.041;-0.044;-0.074;0.767;-0.029;-0.042;0.764;-0.073;-0.013;-0.023;-0.027;-0.027;-0.027;-0.08;0.85;-0.03;-0.043;0.848;-0.073;-0.005;-0.014;-0.012;-0.019;-0.05;-0.088;0.934;-0.03;-0.041;0.931;-0.073;-0.001;-0.01;-0.004;-0.013;-0.039;-0.095;1.0;-0.031;-0.041;0.996;-0.073;0.005;-0.004;0.006;-0.007;-0.001;-0.086;0.957;-0.03;-0.038;0.953;-0.073;0.006;-0.005;0.002;-0.009;-0.024;-0.092;0.733;-0.031;-0.023;0.73;-0.074;0.005;-0.006;0.001;-0.01;0.005;-0.085;0.705;-0.031;-0.023;0.701;-0.073;0.003;-0.008;-0.0;-0.012;-0.003;-0.039;0.621;-0.034;-0.03;0.623;-0.075;0.006
index__month_11;0.079;-0.024;0.989;-0.009;-0.024;0.624;0.447;0.447;-0.024;0.989;-0.009;-0.024;0.624;-0.085;0.215;-0.024;0.989;-0.009;-0.024;0.624;-0.009;-0.009;-0.02;0.989;-0.007;-0.02;0.624;-0.015;-0.009;-0.02;0.989;-0.007;-0.021;0.624;0.049;0.028;0.014;0.038;-0.003;-0.006;-0.024;0.989;-0.006;-0.025;0.624;0.05;0.029;0.014;0.038;0.008;0.005;-0.011;0.996;0.013;-0.011;0.619;0.067;0.042;0.024;0.049;-0.002;0.004;-0.012;0.996;0.011;-0.012;0.619;0.09;0.059;0.034;0.067;0.02;0.015;-0.017;0.998;0.015;-0.017;0.617;0.103;0.068;0.041;0.078;0.002;0.014;-0.021;0.999;0.013;-0.021;0.617;0.107;0.072;0.044;0.085;-0.004;0.009;-0.029;0.999;0.016;-0.028;0.616;0.11;0.072;0.044;0.086;0.005;0.01;-0.031;1.0;0.015;-0.031;0.616;0.109;0.074;0.046;0.089;-0.012;0.006;-0.033;0.999;0.012;-0.033;0.615;0.109;0.073;0.042;0.087;-0.003;0.003;-0.038;0.986;0.028;-0.038;0.607;0.108;0.071;0.038;0.086;-0.007;0.0;-0.038;0.985;0.027;-0.038;0.606;0.108;0.071;0.038;0.087;-0.001;-0.0;-0.01;0.959;0.009;-0.01;0.566;0.016
index__weekday_11;0.016;0.016;0.011;0.199;0.016;0.01;0.009;0.009;0.016;0.011;0.199;0.016;0.01;-0.003;0.004;0.016;0.011;0.199;0.016;0.01;-0.059;-0.059;0.029;0.011;0.244;0.028;0.01;0.0;-0.059;0.029;0.011;0.244;0.029;0.01;-0.011;-0.017;-0.018;-0.016;-0.006;-0.026;0.022;0.011;0.267;0.023;0.01;-0.011;-0.018;-0.019;-0.017;-0.082;-0.092;0.027;0.014;0.762;0.027;0.007;-0.002;-0.007;-0.008;-0.006;-0.009;-0.089;0.025;0.014;0.774;0.025;0.007;0.002;-0.001;-0.004;-0.0;-0.024;-0.08;-0.007;0.015;0.875;-0.008;0.004;-0.005;-0.004;-0.012;-0.004;-0.015;-0.082;-0.024;0.015;0.911;-0.025;0.003;-0.001;-0.0;-0.01;-0.001;-0.009;-0.069;-0.033;0.015;0.962;-0.033;0.002;-0.001;-0.003;-0.012;-0.005;-0.004;-0.067;-0.041;0.015;1.0;-0.042;0.001;-0.004;-0.003;-0.013;-0.004;0.023;-0.053;-0.042;0.014;0.976;-0.043;0.001;-0.003;-0.004;-0.011;-0.004;-0.012;-0.055;-0.044;0.009;0.624;-0.045;0.006;-0.001;-0.003;-0.008;-0.001;-0.003;-0.053;-0.044;0.009;0.582;-0.045;0.006;-0.0;-0.002;-0.006;0.0;0.002;-0.021;-0.04;0.011;0.575;-0.041;0.004;0.012
index__hour_11;0.011;0.244;-0.028;-0.046;0.243;-0.072;0.04;0.04;0.244;-0.028;-0.046;0.243;-0.072;-0.004;0.022;0.244;-0.028;-0.046;0.243;-0.072;-0.019;-0.019;0.254;-0.028;-0.042;0.253;-0.073;0.002;-0.019;0.254;-0.028;-0.042;0.253;-0.072;-0.02;-0.032;-0.03;-0.032;-0.025;-0.03;0.282;-0.028;-0.045;0.283;-0.073;-0.019;-0.032;-0.028;-0.032;-0.052;-0.063;0.578;-0.028;-0.047;0.578;-0.073;-0.027;-0.04;-0.037;-0.039;-0.015;-0.065;0.596;-0.029;-0.046;0.598;-0.073;-0.03;-0.041;-0.044;-0.042;-0.044;-0.073;0.764;-0.029;-0.043;0.766;-0.073;-0.014;-0.024;-0.027;-0.028;-0.026;-0.079;0.847;-0.03;-0.044;0.85;-0.073;-0.006;-0.015;-0.013;-0.02;-0.05;-0.088;0.931;-0.03;-0.042;0.934;-0.073;-0.002;-0.011;-0.005;-0.014;-0.038;-0.094;0.996;-0.031;-0.042;1.0;-0.074;0.004;-0.005;0.005;-0.008;-0.001;-0.085;0.954;-0.03;-0.038;0.956;-0.073;0.005;-0.006;0.002;-0.01;-0.024;-0.092;0.731;-0.032;-0.023;0.733;-0.074;0.004;-0.007;0.001;-0.011;0.005;-0.085;0.703;-0.031;-0.024;0.704;-0.074;0.002;-0.009;-0.001;-0.013;-0.003;-0.039;0.62;-0.034;-0.031;0.625;-0.075;0.006
index__open_cases_11;0.042;-0.038;0.608;-0.011;-0.039;0.985;0.075;0.075;-0.038;0.608;-0.011;-0.039;0.985;-0.031;0.026;-0.038;0.608;-0.011;-0.039;0.985;-0.002;-0.002;-0.041;0.608;-0.01;-0.042;0.986;-0.017;-0.003;-0.042;0.608;-0.01;-0.043;0.986;0.036;0.013;0.006;0.021;0.017;0.015;-0.049;0.608;-0.008;-0.049;0.987;0.036;0.015;0.007;0.023;0.087;0.092;-0.06;0.613;0.01;-0.061;0.994;0.065;0.041;0.03;0.045;0.006;0.089;-0.061;0.613;0.009;-0.061;0.995;0.079;0.055;0.039;0.058;0.035;0.086;-0.062;0.614;0.003;-0.063;0.997;0.086;0.06;0.04;0.064;0.027;0.091;-0.066;0.615;0.003;-0.066;0.998;0.086;0.063;0.043;0.069;0.006;0.075;-0.071;0.615;0.005;-0.071;0.999;0.086;0.062;0.041;0.069;0.014;0.076;-0.073;0.616;0.001;-0.074;1.0;0.086;0.063;0.04;0.07;-0.017;0.063;-0.076;0.616;0.001;-0.076;0.999;0.084;0.059;0.033;0.066;0.01;0.062;-0.03;0.621;-0.003;-0.031;0.989;0.082;0.056;0.03;0.065;-0.001;0.058;-0.028;0.622;-0.006;-0.028;0.988;0.079;0.055;0.028;0.064;-0.006;0.02;-0.034;0.627;-0.014;-0.034;0.956;0.007
index__FirstWithdrawalAmount_12;0.326;0.036;0.11;0.029;0.036;0.088;0.063;0.063;0.036;0.11;0.029;0.036;0.088;0.016;0.047;0.036;0.11;0.029;0.036;0.088;-0.072;-0.072;0.059;0.11;0.045;0.059;0.088;-0.025;-0.073;0.058;0.11;0.045;0.058;0.088;0.413;0.113;0.021;0.129;-0.097;-0.117;0.055;0.11;0.039;0.055;0.088;0.425;0.107;0.008;0.121;0.11;0.058;0.003;0.11;0.004;0.003;0.088;0.529;0.149;0.029;0.162;-0.034;0.045;0.003;0.11;0.006;0.002;0.087;0.679;0.249;0.087;0.268;-0.004;0.031;0.013;0.11;0.001;0.012;0.088;0.803;0.33;0.144;0.354;-0.064;0.005;0.004;0.109;-0.006;0.003;0.087;0.893;0.371;0.179;0.409;-0.037;-0.014;0.004;0.109;-0.004;0.003;0.087;0.952;0.403;0.198;0.438;-0.065;-0.032;0.005;0.109;-0.004;0.004;0.086;1.0;0.434;0.214;0.462;-0.064;-0.049;0.0;0.109;-0.001;-0.0;0.086;0.963;0.407;0.176;0.433;-0.019;-0.057;-0.0;0.106;0.003;-0.001;0.085;0.937;0.386;0.145;0.413;-0.046;-0.07;0.001;0.106;0.002;0.001;0.084;0.919;0.372;0.125;0.398;0.004;-0.027;0.005;0.104;0.003;0.005;0.079;-0.015
