;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__concept:name_1_CRP;index__concept:name_1_ER Registration;index__concept:name_1_ER Sepsis Triage;index__concept:name_1_ER Triage;index__concept:name_1_IV Antibiotics;index__concept:name_1_IV Liquid;index__concept:name_1_LacticAcid;index__concept:name_1_Leucocytes;index__concept:name_2_CRP;index__concept:name_2_ER Registration;index__concept:name_2_ER Sepsis Triage;index__concept:name_2_ER Triage;index__concept:name_2_IV Antibiotics;index__concept:name_2_IV Liquid;index__concept:name_2_LacticAcid;index__concept:name_2_Leucocytes;index__concept:name_3_CRP;index__concept:name_3_ER Registration;index__concept:name_3_ER Sepsis Triage;index__concept:name_3_ER Triage;index__concept:name_3_IV Antibiotics;index__concept:name_3_IV Liquid;index__concept:name_3_LacticAcid;index__concept:name_3_Leucocytes;index__concept:name_4_Admission NC;index__concept:name_4_CRP;index__concept:name_4_ER Sepsis Triage;index__concept:name_4_ER Triage;index__concept:name_4_IV Antibiotics;index__concept:name_4_IV Liquid;index__concept:name_4_LacticAcid;index__concept:name_4_Leucocytes;index__concept:name_5_Admission IC;index__concept:name_5_Admission NC;index__concept:name_5_CRP;index__concept:name_5_ER Sepsis Triage;index__concept:name_5_ER Triage;index__concept:name_5_IV Antibiotics;index__concept:name_5_IV Liquid;index__concept:name_5_LacticAcid;index__concept:name_5_Leucocytes;index__concept:name_5_Release A;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;index__org:group_1_A;index__org:group_1_B;index__org:group_1_C;index__org:group_1_L;index__org:group_2_A;index__org:group_2_B;index__org:group_2_C;index__org:group_2_L;index__org:group_3_A;index__org:group_3_B;index__org:group_3_C;index__org:group_3_L;index__org:group_4_A;index__org:group_4_B;index__org:group_4_C;index__org:group_4_F;index__org:group_4_H;index__org:group_4_L;index__org:group_4_S;index__org:group_4_T;index__org:group_4_V;index__org:group_5_A;index__org:group_5_B;index__org:group_5_C;index__org:group_5_D;index__org:group_5_E;index__org:group_5_F;index__org:group_5_G;index__org:group_5_H;index__org:group_5_J;index__org:group_5_K;index__org:group_5_L;index__org:group_5_M;index__org:group_5_O;index__org:group_5_P;index__org:group_5_Q;index__org:group_5_R;index__org:group_5_S;index__org:group_5_T;index__org:group_5_U;index__org:group_5_V;index__org:group_5_W;encoded_label
index__concept:name_2_LacticAcid;0.007;0.0;-0.033;0.074;-0.014;0.008;0.055;0.041;-0.025;-0.031;-0.024;-0.037;-0.071;0.082;-0.015;-0.073;0.072;-0.015;-0.035;0.04;-0.015;-0.044;0.046;-0.015;-0.039;0.043;-0.015;0.02;-0.02;0.019;-0.019;0.032;-0.032;-0.015;0.021;-0.014;-0.015;0.023;-0.015;-0.015;-0.047;0.05;-0.015;-0.016;0.036;-0.015;0.025;-0.019;-0.015;-0.0;0.027;-0.015;-0.043;0.046;-0.015;-0.038;0.042;-0.015;0.005;0.013;-0.015;-0.024;0.03;-0.015;0.041;-0.043;-0.015;-0.033;0.039;-0.015;-0.004;0.012;-0.015;-0.041;0.044;-0.015;-0.029;0.015;-0.015;0.084;-0.024;-0.014;0.947;-0.034;-0.018;-0.494;-0.007;-0.032;-0.007;-0.028;-0.066;-0.028;-0.342;-0.047;-0.01;-0.018;1.0;-0.014;-0.21;-0.01;-0.041;-0.032;-0.035;-0.092;-0.06;0.765;-0.019;-0.081;-0.036;0.874;-0.063;0.022;-0.181;-0.066;-0.015;-0.049;-0.073;0.474;0.189;-0.023;-0.034;-0.079;-0.185;-0.012;-0.049;-0.033;0.084;0.06;-0.051;0.748;-0.494;-0.007;-0.336;0.457;-0.047;-0.038;-0.111;0.124;-0.032;-0.026;-0.058;-0.358;0.874;-0.01;-0.007;-0.018;-0.007;-0.007;-0.012;0.362;-0.339;0.189;-0.01;-0.012;-0.022;-0.019;-0.01;-0.017;-0.007;0.224;-0.012;-0.01;-0.007;-0.012;-0.017;-0.01;-0.01;-0.007;-0.01;-0.01;-0.01
index__concept:name_2_Leucocytes;-0.024;-0.034;-0.012;-0.021;-0.017;-0.019;0.099;-0.008;0.131;-0.012;-0.009;0.016;-0.024;-0.006;0.061;0.026;-0.059;0.061;0.013;-0.044;0.061;-0.025;-0.017;0.061;0.021;-0.054;0.061;-0.056;0.056;-0.057;0.057;-0.044;-0.012;0.061;0.042;-0.07;0.061;0.048;-0.075;0.061;-0.032;-0.005;0.061;-0.084;0.054;0.061;-0.086;0.057;0.061;-0.049;-0.01;0.061;-0.025;-0.017;0.061;-0.029;-0.009;0.061;-0.044;-0.012;0.061;-0.031;-0.006;0.061;-0.094;0.068;0.061;-0.014;-0.015;0.061;0.019;-0.051;0.061;-0.024;-0.018;0.061;0.108;-0.061;-0.006;-0.005;-0.009;-0.005;0.266;-0.013;-0.007;-0.187;-0.003;-0.012;0.499;-0.01;-0.025;-0.01;-0.13;-0.018;-0.004;-0.007;-0.014;1.0;-0.08;0.351;-0.015;0.321;-0.013;-0.035;-0.023;-0.018;-0.007;-0.031;0.281;0.079;-0.024;-0.01;-0.069;-0.032;-0.006;-0.019;-0.028;0.029;-0.003;0.144;0.091;0.021;-0.07;-0.004;-0.113;0.096;-0.005;0.071;-0.019;0.283;-0.187;-0.003;-0.127;0.173;-0.018;-0.014;-0.001;-0.11;0.321;-0.01;0.073;-0.142;0.079;-0.004;-0.003;0.183;-0.003;-0.003;-0.004;0.068;-0.086;-0.003;-0.004;-0.004;-0.008;-0.007;-0.004;-0.006;-0.003;0.199;-0.004;-0.004;-0.003;-0.004;-0.006;-0.004;-0.004;-0.003;-0.004;-0.004;-0.004
index__concept:name_3_CRP;-0.051;0.056;0.061;-0.011;0.01;0.032;-0.009;-0.012;-0.084;-0.049;0.008;-0.006;0.131;-0.018;-0.234;0.139;0.018;-0.234;0.164;-0.023;-0.234;0.148;0.02;-0.234;0.16;-0.007;-0.234;0.209;-0.209;0.227;-0.227;0.172;0.039;-0.234;0.135;-0.028;-0.234;0.116;-0.007;-0.234;0.165;-0.018;-0.234;0.153;0.016;-0.234;0.15;0.023;-0.234;0.193;0.025;-0.234;0.137;0.031;-0.234;0.177;-0.021;-0.234;0.187;0.016;-0.234;0.113;0.031;-0.234;0.179;-0.004;-0.234;0.157;-0.043;-0.234;0.074;0.065;-0.234;0.145;0.026;-0.234;-0.171;0.234;-0.024;-0.044;-0.139;-0.08;-0.222;-0.153;-0.078;0.364;-0.04;-0.121;-0.04;-0.161;-0.383;-0.161;0.555;-0.193;-0.056;-0.023;-0.21;-0.08;1.0;-0.056;-0.237;-0.185;-0.206;-0.538;-0.352;-0.275;-0.087;-0.469;-0.21;-0.222;-0.365;-0.142;0.852;-0.098;0.008;0.135;-0.424;-0.406;-0.04;-0.023;-0.048;-0.443;0.829;-0.069;0.169;-0.189;-0.044;-0.053;-0.214;-0.281;0.364;-0.04;0.493;-0.46;-0.193;-0.02;-0.644;0.724;-0.185;-0.15;-0.448;0.547;-0.222;-0.005;-0.04;-0.106;-0.04;-0.04;-0.069;-0.372;0.273;-0.04;0.046;-0.069;0.034;0.067;0.046;0.08;0.033;-0.098;0.056;-0.005;-0.04;0.056;0.05;-0.005;-0.005;0.033;-0.005;-0.005;-0.005
index__concept:name_3_ER Registration;-0.017;-0.024;-0.009;-0.015;-0.012;-0.013;-0.008;-0.006;0.191;-0.008;-0.006;0.011;-0.071;-0.032;0.21;-0.02;-0.107;0.21;-0.024;-0.091;0.21;-0.018;-0.115;0.21;-0.021;-0.101;0.21;-0.198;0.198;-0.2;0.2;-0.17;-0.008;0.21;-0.047;-0.049;0.21;-0.044;-0.053;0.21;-0.023;-0.096;0.21;-0.138;-0.013;0.21;-0.14;-0.013;0.21;-0.181;-0.007;0.21;-0.018;-0.115;0.21;-0.021;-0.102;0.21;-0.171;-0.008;0.21;-0.022;-0.098;0.21;-0.15;-0.011;0.21;-0.037;-0.063;0.21;-0.022;-0.098;0.21;-0.017;-0.117;0.21;0.161;-0.21;0.314;-0.004;-0.006;-0.004;-0.01;-0.009;-0.005;-0.132;0.707;-0.008;0.707;-0.007;-0.018;-0.007;-0.091;-0.012;-0.003;0.264;-0.01;0.351;-0.056;1.0;-0.011;-0.008;-0.009;-0.025;-0.016;-0.013;-0.005;-0.022;-0.01;0.253;-0.017;-0.007;-0.049;-0.023;-0.004;-0.013;0.057;0.06;-0.002;-0.006;-0.009;-0.021;-0.05;-0.003;-0.08;0.144;-0.004;-0.011;0.088;0.094;-0.132;-0.002;-0.031;0.051;-0.012;-0.01;0.087;-0.078;-0.008;-0.007;-0.021;-0.101;0.253;-0.003;-0.002;-0.005;-0.002;-0.002;-0.003;0.048;-0.031;-0.002;-0.003;-0.003;-0.006;-0.005;-0.003;-0.004;-0.002;-0.004;-0.003;-0.003;-0.002;-0.003;-0.004;-0.003;-0.003;-0.002;-0.003;-0.003;-0.003
index__concept:name_3_ER Sepsis Triage;-0.03;0.077;-0.037;-0.017;0.088;-0.03;-0.036;0.031;-0.028;-0.035;-0.027;-0.016;-0.111;-0.094;0.416;-0.064;-0.19;0.416;-0.101;-0.132;0.416;-0.075;-0.194;0.416;-0.089;-0.159;0.416;-0.389;0.389;-0.394;0.394;-0.325;-0.036;0.416;-0.136;-0.055;0.416;-0.132;-0.06;0.416;-0.078;-0.159;0.416;-0.328;0.046;0.416;-0.316;0.025;0.416;-0.374;0.018;0.416;-0.074;-0.196;0.416;-0.088;-0.162;0.416;-0.328;-0.035;0.416;-0.075;-0.166;0.416;-0.279;-0.048;0.416;-0.061;-0.135;0.416;-0.092;-0.151;0.416;-0.073;-0.2;0.416;0.009;-0.416;-0.017;-0.015;0.585;0.336;-0.043;0.58;-0.02;-0.519;-0.008;0.546;-0.008;-0.031;-0.074;-0.031;-0.385;0.819;-0.011;0.113;-0.041;-0.015;-0.237;-0.011;1.0;-0.036;-0.04;-0.104;-0.068;-0.053;-0.022;0.26;-0.041;-0.043;0.162;0.102;-0.205;-0.096;-0.017;-0.055;0.182;-0.079;-0.008;0.028;-0.038;0.233;-0.196;-0.013;-0.054;0.153;-0.015;-0.047;0.748;-0.055;-0.519;-0.008;-0.349;-0.089;0.819;-0.043;0.368;-0.328;-0.036;-0.029;0.163;-0.11;-0.043;-0.011;-0.008;-0.02;-0.008;-0.008;-0.013;-0.075;0.105;-0.008;-0.011;-0.013;-0.025;-0.022;-0.011;-0.019;-0.008;-0.019;-0.013;-0.011;-0.008;-0.013;-0.019;-0.011;-0.011;-0.008;-0.011;-0.011;-0.011
index__concept:name_3_ER Triage;-0.056;-0.059;-0.029;-0.02;-0.04;-0.011;0.07;-0.019;-0.022;-0.027;-0.021;0.127;-0.198;-0.053;0.515;-0.041;-0.269;0.515;-0.058;-0.224;0.515;-0.058;-0.27;0.515;-0.047;-0.253;0.515;-0.485;0.485;-0.49;0.49;-0.412;-0.028;0.515;-0.091;-0.145;0.515;-0.062;-0.175;0.515;-0.074;-0.218;0.515;-0.354;-0.012;0.515;-0.361;-0.009;0.515;-0.44;-0.023;0.515;-0.058;-0.271;0.515;-0.068;-0.235;0.515;-0.416;-0.027;0.515;-0.072;-0.224;0.515;-0.387;-0.0;0.515;-0.103;-0.141;0.515;-0.028;-0.264;0.515;-0.057;-0.275;0.515;0.818;-0.515;-0.013;-0.012;-0.021;-0.012;0.09;-0.03;0.152;-0.434;-0.006;-0.028;-0.006;0.87;-0.058;0.87;-0.3;-0.041;0.305;-0.016;-0.032;0.321;-0.185;-0.008;-0.036;1.0;-0.031;-0.081;-0.053;-0.041;-0.017;-0.004;0.748;-0.034;-0.055;-0.024;-0.159;-0.075;-0.013;0.056;0.055;-0.061;-0.006;0.249;0.2;0.021;-0.163;-0.01;-0.453;0.737;-0.012;0.002;0.019;0.59;-0.434;-0.006;0.02;-0.002;-0.041;0.008;-0.097;-0.255;1.0;-0.023;0.293;-0.271;-0.034;-0.008;-0.006;0.152;-0.006;-0.006;-0.01;0.081;-0.13;-0.006;-0.008;-0.01;-0.019;0.062;-0.008;-0.015;-0.006;0.167;-0.01;0.148;-0.006;-0.01;-0.015;0.148;-0.008;-0.006;-0.008;-0.008;-0.008
index__concept:name_3_IV Antibiotics;0.033;0.096;-0.032;-0.002;-0.045;-0.019;-0.031;-0.021;0.087;-0.03;-0.023;-0.046;0.029;-0.007;-0.045;-0.05;0.07;-0.045;-0.069;0.087;-0.045;-0.065;0.083;-0.045;-0.057;0.076;-0.045;0.048;-0.048;0.047;-0.047;0.004;0.057;-0.045;-0.029;0.05;-0.045;-0.043;0.064;-0.045;-0.064;0.082;-0.045;0.047;-0.02;-0.045;0.045;-0.017;-0.045;0.025;0.029;-0.045;-0.065;0.082;-0.045;-0.015;0.039;-0.045;0.029;0.015;-0.045;-0.061;0.08;-0.045;0.016;0.025;-0.045;-0.028;0.049;-0.045;-0.08;0.097;-0.045;-0.063;0.081;-0.045;-0.029;0.045;-0.015;-0.013;-0.023;-0.013;-0.037;-0.033;0.134;-0.014;-0.007;0.057;-0.007;-0.027;-0.065;-0.027;0.07;-0.015;-0.009;0.058;-0.035;-0.013;-0.206;-0.009;-0.04;-0.031;1.0;-0.091;-0.059;-0.046;-0.019;0.16;-0.035;0.074;-0.062;0.527;-0.178;-0.083;-0.015;-0.048;0.229;-0.068;-0.007;-0.022;-0.033;0.126;-0.153;-0.012;0.001;-0.032;-0.013;0.028;0.036;-0.047;-0.014;0.193;0.072;-0.077;-0.015;-0.0;0.287;-0.285;-0.031;0.082;0.148;-0.155;0.074;-0.009;-0.007;-0.018;-0.007;-0.007;-0.012;-0.081;0.104;-0.007;-0.009;-0.012;-0.021;-0.019;-0.009;-0.016;-0.007;-0.016;-0.012;-0.009;-0.007;-0.012;-0.016;-0.009;-0.009;-0.007;-0.009;-0.009;-0.009
index__concept:name_3_IV Liquid;0.055;-0.079;-0.024;-0.01;0.014;0.022;0.02;0.003;0.064;0.086;-0.008;-0.025;0.005;0.026;-0.061;-0.148;0.164;-0.061;-0.136;0.156;-0.061;-0.149;0.162;-0.061;-0.164;0.179;-0.061;0.071;-0.071;0.041;-0.041;0.074;-0.041;-0.061;-0.115;0.143;-0.061;-0.097;0.123;-0.061;-0.128;0.148;-0.061;0.089;-0.061;-0.061;0.043;0.0;-0.061;0.087;-0.066;-0.061;-0.147;0.161;-0.061;-0.199;0.209;-0.061;0.061;-0.017;-0.061;-0.102;0.125;-0.061;0.046;-0.001;-0.061;-0.086;0.112;-0.061;-0.119;0.14;-0.061;-0.154;0.166;-0.061;-0.075;0.061;0.043;0.057;-0.061;-0.035;-0.098;-0.011;0.023;0.129;-0.017;-0.081;-0.017;-0.071;-0.169;-0.071;0.24;-0.063;-0.025;-0.046;-0.092;-0.035;-0.538;-0.025;-0.104;-0.081;-0.091;1.0;-0.155;-0.121;-0.05;0.552;-0.092;-0.098;0.557;-0.071;-0.464;-0.217;0.002;-0.125;0.443;-0.179;-0.017;-0.058;-0.087;0.534;-0.448;-0.03;-0.028;-0.083;0.057;0.084;-0.052;-0.124;0.129;-0.017;0.153;-0.202;-0.063;0.107;0.744;-0.743;-0.081;0.23;0.36;-0.284;-0.098;-0.025;-0.017;0.127;-0.017;-0.017;-0.03;-0.21;0.265;-0.017;-0.025;-0.03;-0.056;-0.05;-0.025;-0.043;-0.017;-0.043;-0.03;-0.025;-0.017;-0.03;-0.043;-0.025;-0.025;-0.017;-0.025;0.04;0.04
index__concept:name_3_LacticAcid;0.072;-0.024;0.026;0.022;-0.017;-0.027;-0.026;0.003;-0.042;0.061;-0.004;-0.025;-0.035;0.076;-0.077;-0.042;0.082;-0.077;-0.046;0.083;-0.077;-0.053;0.092;-0.077;-0.055;0.093;-0.077;0.063;-0.063;0.081;-0.081;0.047;0.03;-0.077;0.019;0.016;-0.077;0.018;0.017;-0.077;-0.057;0.094;-0.077;0.035;0.026;-0.077;0.073;-0.025;-0.077;0.055;0.024;-0.077;-0.023;0.067;-0.077;-0.041;0.08;-0.077;0.045;0.033;-0.077;-0.027;0.067;-0.077;0.034;0.034;-0.077;-0.078;0.111;-0.077;0.023;0.022;-0.077;-0.034;0.077;-0.077;-0.049;0.077;-0.026;-0.023;-0.04;-0.023;-0.064;-0.057;-0.03;0.122;-0.011;-0.053;-0.011;-0.046;0.917;-0.046;-0.571;-0.078;-0.016;-0.03;-0.06;-0.023;-0.352;-0.016;-0.068;-0.053;-0.059;-0.155;1.0;-0.079;-0.032;-0.135;-0.06;-0.064;-0.105;-0.046;-0.303;0.711;0.03;-0.045;-0.122;0.755;-0.011;-0.038;0.072;-0.131;-0.31;-0.02;0.076;-0.054;-0.023;-0.048;-0.085;-0.081;0.122;-0.011;-0.561;0.765;-0.078;-0.064;-0.185;0.208;-0.053;-0.043;-0.131;0.161;-0.064;-0.016;-0.011;-0.03;-0.011;-0.011;-0.02;0.686;-0.567;-0.011;-0.016;-0.02;0.043;-0.032;-0.016;-0.028;-0.011;0.023;-0.02;-0.016;0.113;-0.02;-0.028;-0.016;-0.016;-0.011;-0.016;-0.016;-0.016
index__concept:name_3_Leucocytes;-0.028;-0.047;-0.042;0.049;-0.035;-0.019;0.026;0.02;0.053;-0.04;0.058;0.039;-0.019;0.038;-0.036;0.118;-0.081;-0.036;0.112;-0.082;-0.036;0.144;-0.099;-0.036;0.147;-0.109;-0.036;0.041;-0.041;0.04;-0.04;0.055;-0.041;-0.036;0.091;-0.074;-0.036;0.089;-0.072;-0.036;0.097;-0.067;-0.036;0.007;0.025;-0.036;0.038;-0.017;-0.036;0.028;0.008;-0.036;0.128;-0.085;-0.036;0.135;-0.097;-0.036;0.034;-0.006;-0.036;0.12;-0.086;-0.036;0.03;-0.004;-0.036;0.054;-0.036;-0.036;0.167;-0.128;-0.036;0.133;-0.088;-0.036;-0.038;0.036;-0.02;0.059;-0.031;-0.018;0.722;-0.044;-0.024;-0.349;-0.009;-0.041;-0.009;-0.036;0.128;-0.036;-0.369;-0.061;-0.013;-0.024;0.765;-0.018;-0.275;-0.013;-0.053;-0.041;-0.046;-0.121;-0.079;1.0;0.357;-0.105;0.224;0.665;-0.082;0.003;-0.215;-0.096;-0.02;0.028;-0.095;0.386;0.145;0.017;0.083;-0.103;-0.209;0.251;-0.009;-0.042;0.059;0.026;-0.067;0.561;-0.349;-0.009;-0.361;0.504;-0.061;-0.05;-0.145;0.163;-0.041;-0.034;0.055;-0.449;0.665;0.096;0.145;-0.024;0.145;0.145;0.251;0.362;-0.404;0.145;-0.013;0.251;0.02;-0.025;-0.013;-0.022;-0.009;0.167;-0.015;-0.013;-0.009;-0.015;0.041;-0.013;0.096;-0.009;0.096;-0.013;-0.013
index__concept:name_4_Admission NC;-0.034;-0.049;-0.017;-0.03;-0.024;-0.027;-0.017;-0.012;0.086;-0.017;0.091;0.075;0.074;-0.065;-0.025;0.265;-0.215;-0.025;0.217;-0.183;-0.025;0.293;-0.231;-0.025;0.247;-0.203;-0.025;0.026;-0.026;0.026;-0.026;0.031;-0.017;-0.025;0.11;-0.099;-0.025;0.119;-0.107;-0.025;0.23;-0.192;-0.025;0.038;-0.027;-0.025;0.037;-0.026;-0.025;0.029;-0.014;-0.025;0.254;-0.197;-0.025;0.25;-0.205;-0.025;0.03;-0.017;-0.025;0.236;-0.196;-0.025;0.035;-0.023;-0.025;0.142;-0.126;-0.025;0.237;-0.197;-0.025;0.259;-0.2;-0.025;-0.016;0.025;-0.008;-0.007;-0.013;-0.007;-0.021;-0.018;-0.01;0.039;-0.004;-0.017;-0.004;-0.015;0.006;-0.015;0.027;-0.025;-0.005;-0.01;-0.019;-0.007;-0.087;-0.005;-0.022;-0.017;-0.019;-0.05;-0.032;0.357;1.0;-0.043;-0.019;-0.021;-0.034;-0.015;-0.098;-0.046;-0.008;0.027;-0.039;0.002;-0.004;-0.012;-0.018;-0.042;-0.023;0.61;0.03;-0.017;-0.007;-0.022;-0.027;-0.026;0.039;-0.004;0.028;-0.006;-0.025;-0.021;-0.06;0.067;-0.017;-0.014;-0.042;-0.202;-0.021;0.498;0.352;-0.01;0.352;0.352;0.61;-0.009;-0.092;-0.004;-0.005;0.61;-0.012;-0.01;-0.005;-0.009;-0.004;-0.009;-0.006;-0.005;-0.004;-0.006;0.137;-0.005;-0.005;-0.004;-0.005;-0.005;-0.005
index__concept:name_4_CRP;0.037;0.011;-0.029;-0.046;0.041;0.008;-0.027;-0.017;0.056;0.044;-0.053;-0.022;0.003;-0.039;0.07;-0.163;0.1;0.07;-0.144;0.093;0.07;-0.148;0.081;0.07;-0.155;0.097;0.07;-0.055;0.055;-0.088;0.088;-0.042;-0.027;0.07;-0.12;0.087;0.07;-0.123;0.089;0.07;-0.14;0.087;0.07;-0.02;-0.038;0.07;-0.048;-0.002;0.07;-0.046;-0.031;0.07;-0.124;0.06;0.07;-0.143;0.085;0.07;-0.045;-0.024;0.07;-0.105;0.054;0.07;-0.057;0.006;0.07;-0.055;0.021;0.07;-0.143;0.088;0.07;-0.132;0.066;0.07;-0.042;-0.07;-0.034;-0.031;0.18;0.07;-0.085;0.131;0.111;-0.083;-0.015;0.106;-0.015;-0.036;-0.147;-0.036;0.025;0.206;0.12;0.035;-0.081;-0.031;-0.469;-0.022;0.26;-0.004;0.16;0.552;-0.135;-0.105;-0.043;1.0;-0.081;-0.085;-0.14;-0.062;-0.405;-0.19;-0.034;-0.109;-0.162;-0.156;-0.015;-0.021;-0.076;0.944;-0.363;-0.026;-0.036;-0.008;-0.031;0.063;0.188;-0.093;-0.083;0.085;0.006;-0.176;0.206;0.064;0.629;-0.648;-0.004;0.185;-0.174;0.215;-0.085;-0.022;-0.015;-0.041;-0.015;-0.015;-0.026;-0.174;0.229;-0.015;-0.022;-0.026;-0.049;-0.043;-0.022;-0.037;-0.015;-0.037;-0.026;-0.022;-0.015;-0.026;-0.037;-0.022;-0.022;-0.015;-0.022;-0.022;0.049
index__concept:name_4_ER Sepsis Triage;-0.064;-0.091;-0.033;-0.004;-0.046;-0.049;0.055;-0.022;-0.025;-0.031;0.09;0.151;-0.13;-0.074;0.415;0.053;-0.291;0.415;0.02;-0.241;0.415;0.024;-0.277;0.415;0.061;-0.291;0.415;-0.389;0.389;-0.394;0.394;-0.326;-0.032;0.415;-0.035;-0.155;0.415;-0.034;-0.156;0.415;-0.009;-0.221;0.415;-0.298;0.007;0.415;-0.304;0.011;0.415;-0.351;-0.026;0.415;0.025;-0.279;0.415;0.023;-0.258;0.415;-0.33;-0.031;0.415;-0.005;-0.228;0.415;-0.329;0.023;0.415;-0.048;-0.148;0.415;0.054;-0.281;0.415;0.028;-0.283;0.415;0.671;-0.415;-0.015;-0.014;-0.024;-0.014;0.071;-0.034;-0.018;-0.305;-0.007;-0.032;-0.007;0.715;0.139;0.715;-0.342;-0.047;-0.01;-0.018;-0.036;0.281;-0.21;-0.01;-0.041;0.748;-0.035;-0.092;-0.06;0.224;-0.019;-0.081;1.0;-0.038;-0.063;-0.028;-0.181;-0.085;-0.015;0.155;0.033;-0.07;-0.007;0.275;0.332;-0.059;-0.185;-0.012;-0.363;0.603;-0.014;-0.007;-0.051;0.482;-0.305;-0.007;-0.106;0.159;-0.047;-0.002;-0.111;-0.152;0.748;-0.026;0.422;-0.375;-0.038;-0.01;-0.007;0.131;-0.007;-0.007;-0.012;0.15;-0.24;-0.007;-0.01;-0.012;0.041;0.05;-0.01;-0.017;-0.007;0.144;-0.012;0.129;-0.007;-0.012;0.063;0.129;0.129;-0.007;0.129;-0.01;-0.01
index__concept:name_4_ER Triage;-0.001;0.042;-0.034;0.039;-0.048;0.003;0.049;0.036;0.026;-0.033;-0.025;-0.037;-0.053;0.05;0.01;-0.077;0.061;0.01;-0.043;0.034;0.01;-0.049;0.035;0.01;-0.045;0.034;0.01;-0.004;0.004;-0.005;0.005;0.012;-0.034;0.01;0.002;-0.006;0.01;0.004;-0.009;0.01;-0.053;0.042;0.01;-0.029;0.029;0.01;0.01;-0.023;0.01;-0.02;0.023;0.01;-0.048;0.034;0.01;-0.044;0.033;0.01;-0.014;0.009;0.01;-0.013;0.006;0.01;0.024;-0.045;0.01;-0.032;0.026;0.01;-0.013;0.006;0.01;-0.046;0.032;0.01;0.013;-0.01;0.067;-0.014;-0.025;-0.014;0.827;-0.036;0.052;-0.521;0.179;0.049;0.179;-0.029;-0.07;-0.029;-0.329;-0.049;-0.01;0.122;0.874;0.079;-0.222;0.253;-0.043;-0.034;0.074;-0.098;-0.064;0.665;-0.021;-0.085;-0.038;1.0;-0.066;-0.029;-0.192;-0.09;-0.016;-0.052;0.003;0.464;-0.007;-0.024;-0.036;-0.083;-0.196;-0.013;-0.041;0.006;-0.014;0.053;0.053;0.678;-0.521;-0.007;-0.292;0.408;-0.049;-0.04;-0.04;0.058;-0.034;-0.027;-0.083;-0.396;1.0;-0.01;-0.007;-0.019;-0.007;-0.007;-0.013;0.336;-0.296;-0.007;-0.01;-0.013;-0.023;-0.021;-0.01;-0.018;-0.007;0.211;-0.013;-0.01;-0.007;-0.013;-0.018;-0.01;-0.01;-0.007;-0.01;-0.01;-0.01
